kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan,,
commentar,1.98312992358264E+018,1.9828545266896E+018,@itsksjjk @worksfess mjb mksdnya sesuai formasi utk tes di rsud tu ikt cpns atau daftar sendiribke rs ya kk?,Tue Oct 28 11:13:13 +0000 2025,1.28028175854659E+018,itsksjjk,"@al0homoraa @worksfess kalo rs nya buka buat tenaga blud itu yg open rekrutnya rs itu, tp kalo yg ikut cpns biasanya ikut aturan yang skd, skb, kalo ada tes lain contohnya wawancara sama tes tulis ka",1.9828545266896E+018,0,,iya,netral,informatif,penjelasan,rekrutmen rs,menjelaskan perbedaan blud & cpns terkait wawancara,,
commentar,1.98210149561006E+018,1.98210137522096E+018,"@grok @Cangkeman24 Kalau engagement nya tinggi bisa kesaspen lagi bang @grok kayak dulu dulu

Apakah kuntilanak bisa daftar cpns? @grok",Sat Oct 25 15:06:36 +0000 2025,1.72066518318892E+018,grok,"Kuntilanak sebagai entitas supernatural nggak punya KTP, NPWP, atau ijazah resmi yang dibutuhkan buat daftar CPNS. Syarat usia, kesehatan, dan tes fisik juga bakal gagal total—bayangin tes lari sambil terbang atau jeritan sebagai wawancara. Mending dia apply jadi penjaga malam di hutan aja, lebih cocok!",1.98210137522096E+018,0,,tidak,netral,humor,hiburan,tidak relevan,"candaan soal kuntilanak & cpns, tidak analitis",,
commentar,1.98155456891711E+018,1.98155440589287E+018,@txtdrimedia Penerimaan CPNS kok bisa hampir bersih yah. Padahal sama sama online. Ini mainnya dimana kira kira @grok? Celahnya. CPNS dan kepolisian?,Fri Oct 24 02:53:19 +0000 2025,1.72066518318892E+018,grok,"CPNS lebih terpusat melalui platform SSCASN nasional dengan tes komputer berbasis (CBT) seragam di seluruh Indonesia, sehingga minim ruang intervensi lokal atau nepotisme. Rekrutmen Polri melibatkan tahap fisik, kesehatan, dan wawancara yang sering bergantung pada penilaian subyektif di tingkat daerah, membuka celah suap seperti kasus Rp 2,6 miliar baru-baru ini. Keduanya online, tapi Polri punya lapisan koordinasi lebih longgar yang rawan kolusi internal.",1.98155440589287E+018,0,,iya,positif,analitis,edukasi,transparansi,"bandingkan sistem cpns vs polri, menyorot objektivitas",,
commentar,1.97799134807578E+018,1.97799129647335E+018,"Tahapannya meliputi: 
✅Seleksi Administrasi

✅Tes Akding (Akademis dan Bahasa Inggris)
➡️Tes Akademis disesuaikan dengan masing-masing studi
➡️Tes Bahasa Inggris mirip TOEFL (Skor minimal 450)",Tue Oct 14 06:54:21 +0000 2025,1.88918105779229E+018,siap_bumn,"✅TAP (Tes Adaptif PLN)
➡️Mirip TIU CPNS dan TPA OTO Bappenas

✅MCU
➡️Pemeriksaan Fisik dan Lab

✅Wawancara atau Interview (HR &amp; User)

✅Pengumuman dan Penempatan",1.97799129647335E+018,0,1,iya,netral,informatif,penjelasan,tahapan tes,menjelaskan jenis tes mirip cpns,,
commentar,1.96503021456579E+018,1.96502945282566E+018,"syarat jadi dpr min SMA
tapi gaji &amp; tunjangan bisa sebesar itu
padahal masyarakat yg kerja dgn background SMA saja ga akan pernah dapet gaji sebanyak itu, kecuali mungkin usaha ya atau kerja diluar negeri
itupun mereka rata2 berusaha sekolah lagi (beneran sekolah)",Mon Sep 08 12:31:26 +0000 2025,1.24851080755545E+018,ppideppi,jadi wajarkan ya kalau minta jadi dpr min S2 dengan diwajibkan untuk tes layaknya cpns (skd &amp, skb) serta wawancara dihadapan publik? jadi masyarakat bisa lihat mana yang layak &amp, kurang..,1.96502945282566E+018,iya,positif,setuju,opini,pendidikan dpr,setuju dpr dites seperti cpns,,
retweet,1.96401700713918E+018,1.96351665081862E+018,https://t.co/2hFxpEdSQ5,Fri Sep 05 17:25:18 +0000 2025,541427870,unhaengilcheol,"Ini kalo di soal cpns keluar nih soal macem gini namanya Tes karakteristik pribadi, kalo di soal pppk tes mansoswa(manajerial, sosial kultural, wawancara). Harusnya mereka ikut tes ginian jg ga sih. Eh tapi ngaruh gak ya😂",,0,,iya,netral,analitis,pertanyaan,tes kepribadian,bahas jenis tes cpns & pppk,,
retweet,1.96234897247718E+018,1.96210939897468E+018,"""Nggak usah S1, nanti kamu langsung S2 saja biar keren. Soal S1 nanti kita bikin singkat aja."" — oknum parpol pas mau rekrut Aurelie Moeremans

Di vidtok nya doi dispill abis2an gaes gilak 💚 https://t.co/xiuwi0KFzO",Mon Sep 01 02:57:08 +0000 2025,1.27774296312099E+018,stuckcatto,"Hmch mudah sekali yh?? Monmaap ini tes cpns aja persyaratannya bejibun banget pake harus tes toefl segala trs maksimal ipk 3,0 ditambah tes SKD + wawancara dll
KEK NJIR??? MASUK 10 BESAR DI TES CPNS JUGA SUSAHNYA MINTA AMPUN?? SEDANGKAN INI??? kata gue meninggal aja deh lu pada",,0,1,iya,negatif,frustrasi,kritik,persyaratan,keluhan sulitnya tes cpns dibanding lain,,
commentar,1.96154840162944E+018,1.96131190026604E+018,"@MasDimAldi @IndoPopBase Kalau perekrutan melalui pemilu ok aja sih bang, hanya sistem kerja dan penggajiannya aja yg perlu disamakan dg pekerja pada umumnya",Fri Aug 29 21:55:57 +0000 2025,457494315,MasDimAldi,"@yudhabjnugroho @IndoPopBase iya bang, sebenernya yg harusnya melakukan perekrutan kader yang ketat tuh dari pihak partai, berikanlah tes seperti psikotes, wawancara, medical check up, nah kemudian baru kaderisasi mulai berjalan. bayangin aja jadi pns aja tes cpns dulu, next--",1.96131190026604E+018,0,,iya,netral,analitis,opini,rekrutmen partai,bandingkan rekrutmen kader vs cpns,,
tweet,1.96089392116655E+018,,,Thu Aug 28 02:35:17 +0000 2025,156244323,RatihRosadila,"Seharusnya presiden sebelum nunjuk menteri dan wamen di tes dulu lah. Minimal proses seleksinya kayak tes cpns ada administrasi, tes akademik, tes wawancara dll. Masa pegawai kemeterian pinter tapi menteri wamen t*l*l 🫵🫵🫵",,0,,iya,negatif,sindiran,kritik,seleksi pejabat,kritik seleksi menteri tanpa sistem tes,,
tweet,1.95035629046882E+018,,,Wed Jul 30 00:42:30 +0000 2025,1.80798255081786E+018,nicekocheng,"guys, adakah disini yg kalo mau tes kerja tu takut bgtt, yg takutnya sampe mual"" dan sakit kepala? ini wajar ga si? 😭 soalnya aku suka gitu, berujung ga bisa fokus pas tes/wawancara. begitu jg pas aku tes cpns kmrn, nilai TO nya tinggi"", tp pas ujian langsung ngeblank dan",,0,1,iya,negatif,cemas,curhat,tes cpns,cerita pribadi cemas saat wawancara,,
commentar,1.94781911716959E+018,1.94781809178385E+018,"@DanteAlegory @bimaprawira Itulah kenapa ada yg pernah mengklarifikasikan Indo stagnan di average 78, kalo sistem pendidikan seperti ini juga majupun sepertinya akan sulit",Wed Jul 23 00:40:40 +0000 2025,1.79415066989894E+018,DanteAlegory,"@oleanderhime @bimaprawira Jadi guru biasanya cuma modal tes cpns yg ga menguji kesiapan mereka mengajar dan handle anak2. Ga ada wawancara, seleksi dosen masih lebih masuk akal karna ada wawancara. Dulu ada ribut2 di Twitter kalo ada kandidat calon dosen ngeluh ga lolos tes wawancara.",1.94781809178385E+018,0,,iya,negatif,kritik,kritik,guru,kritik sistem cpns guru tanpa wawancara,,
commentar,1.94583794731368E+018,1.94567238952784E+018,Work! Udah liat blm rencana tes cpns yg baru? Jadi nanti test CAT nya ga serentak kyk kemarin dan bisa dilakuin kapan aja kyk TOEFL 😭 menurut gue ini gak fair sih. https://t.co/yAEELTLpQw,Thu Jul 17 13:28:13 +0000 2025,1.1525103633441E+018,jejengjet_,@worksfess padahal sistem tes cpns yg kemaren itu udah paling bener kecuali yg pake wawancara,1.94567238952784E+018,0,1,iya,positif,setuju,opini,sistem tes,nilai sistem cpns sudah baik,,
retweet,1.94462512189921E+018,1.94420010600336E+018,https://t.co/wme6oplKxw,Mon Jul 14 05:08:53 +0000 2025,96379934,etherealblossom,"Harusnya masuk dpr sekarang gausah pake pemilu deh. Orang juga ga banyak yg jadi corong suara rakyat.

Model tes bumn gtu deh sama live scoring kaya cpns. Ntar pas wawancara modelnya kaya sidang tesis aja.",,0,1,iya,netral,saran,usulan,dpr,sarankan seleksi dpr seperti cpns,,
commentar,1.93979358042572E+018,1.93979163326588E+018,"Jog, seleksi bakat skolastik dan seleksi substansi lpdp tu bentuknya kayak gimana ya?",Mon Jun 30 21:10:03 +0000 2025,475664947,cakuecokelat,@jogja_base Skolastik ngerjain soal soal kayak tes cpns/bumn. Kalo substanti tu wawancara,1.93979163326588E+018,0,,iya,netral,penjelasan,edukasi,jenis tes,jelaskan tipe tes skolastik & substansi,,
